HERO,CLASS,STR,STR+,"STR25",AGI,AGI+,"AGI25",INT,INT+,"INT25",T,T+,T25,MS,AR,"DMG(MIN)","DMG(MAX)",RG,BAT,"ATKPT","ATKBS",VS-D,VS-N,TR,COL,HP/S,L
Chen,INT,25,1.8,68.2,15,2.1,65.4,19,2.8,86.2,59,6.7,219.8,310,1.4,48,58,650,1.7,0.5,0.5,1800,800,0.6,24,1.5,2
Clinkz,AGI,16,1.9,61.6,22,2.6,84.4,18,1.7,58.8,56,6.2,204.8,295,4.4,37,43,640,1.7,0.7,0.3,1800,800,0.5,24,1.75,2
Clockwerk,STR,26,3.2,102.8,13,2.3,68.2,17,1.3,48.2,56,6.8,219.2,310,1.08,50,52,150,1.7,0.33,0.64,1800,800,0.6,24,1.5,2
Crystal Maiden,INT,18,2,66,16,1.6,54.4,14,2.9,83.6,48,6.5,204,275,2.56,40,46,600,1.7,0.55,0,1800,800,0.5,24,1.5,2
Dark Seer,INT,24,2.9,93.6,12,1.2,40.8,21,2.7,85.8,57,6.8,220.2,295,6.92,54,60,150,1.7,0.59,0.58,1800,800,0.6,24,1.5,2
Dark Willow,INT,20,1.8,63.2,18,1.6,56.4,18,3,90,56,6.4,209.6,295,1.88,45,53,475,1.3,0.3,0,1800,800,0.7,24,1.5,2
Dazzle,INT,18,2.3,73.2,21,1.7,61.8,25,3.4,106.6,64,7.4,241.6,310,2.36,47,53,550,1.7,0.3,0.3,1800,800,0.6,24,1.5,2
Death Prophet,INT,19,2.9,88.6,14,1.4,47.6,21,3,93,54,7.3,229.2,305,2.24,47,59,600,1.7,0.56,0.51,1800,800,0.5,24,1.5,2
Disruptor,INT,21,2.2,73.8,15,1.4,48.6,20,2.5,80,56,6.1,202.4,300,1.4,49,53,600,1.7,0.4,0.5,1800,800,0.5,24,1.5,2
Doom,STR,26,3.5,110,11,0.9,32.6,15,2.1,65.4,52,6.5,208,280,0.76,53,69,150,2,0.5,0.7,1800,800,0.5,24,1.5,2
Dragon Knight,STR,19,3.1,93.4,19,2,67,15,1.7,55.8,53,6.8,216.2,280,3.04,50,56,150,1.7,0.5,0.5,1800,800,0.6,24,1.5,2
Drow Ranger,AGI,18,1.9,63.6,26,1.9,71.6,15,1.4,48.6,59,5.2,183.8,285,2.2,44,55,625,1.7,0.7,0.3,1800,800,0.7,24,1.75,2
Earth Spirit,STR,21,3.5,105,17,1.5,53,18,2.1,68.4,56,7.1,226.4,285,2.72,46,56,150,1.7,0.35,0.65,1800,800,0.6,24,1.5,2
Earthshaker,STR,22,3.2,98.8,12,1.4,45.6,16,1.8,59.2,50,6.4,203.6,310,2.92,49,59,150,1.7,0.467,0.863,1800,800,0.9,24,2.5,2
Elder Titan,STR,24,2.6,86.4,14,1.8,57.2,23,1.6,61.4,61,6,205,310,2.24,47,57,150,1.7,0.35,0.97,1800,800,0.5,24,1.5,2
Ember Spirit,AGI,20,2.4,77.6,22,1.8,65.2,20,1.8,63.2,62,6,206,305,3.4,52,56,150,1.7,0.4,0.3,1800,800,0.5,24,2,2
Enchantress,INT,19,1.3,50.2,19,1.8,62.2,19,3.1,93.4,57,6.2,205.8,340,1.04,49,59,575,1.7,0.3,0.7,1800,800,0.5,24,1.5,4
Enigma,INT,21,2.4,78.6,14,1,38,18,3.4,99.6,53,6.8,216.2,300,4.24,42,48,500,1.7,0.4,0.77,1800,800,0.5,24,1.5,0
Faceless Void,AGI,24,2.1,74.4,23,2.8,90.2,15,1.5,51,62,6.4,215.6,295,4.6,56,62,150,1.7,0.5,0.56,1800,800,1,24,2,2
Gyrocopter,AGI,19,2.1,69.4,24,2.8,91.2,19,2.1,69.4,62,7,230,320,5.8,37,47,365,1.7,0.2,0.97,1800,800,0.6,24,1.5,2
Huskar,STR,21,2.7,85.8,15,1.4,48.6,18,1.5,54,54,5.6,188.4,290,0.4,42,51,400,1.6,0.4,0.5,1800,800,0.5,24,1.5,2
Invoker,INT,18,2.2,70.8,14,1.9,59.6,14,4,110,46,8.1,240.4,280,1.24,35,41,600,1.7,0.4,0.7,1800,800,0.5,24,1.5,2
Io,STR,17,2.2,69.8,14,1.6,52.4,23,1.7,63.8,54,5.5,186,280,0.24,39,48,575,1.7,0.15,0.4,1800,800,0.7,24,1.5,0
Jakiro,INT,27,2.6,89.4,10,1.2,38.8,26,2.8,93.2,63,6.6,221.4,290,2.6,53,61,400,1.7,0.4,0.3,1800,800,0.5,24,1.5,2
Juggernaut,AGI,21,2.2,73.8,26,2.4,83.6,14,1.4,47.6,61,6,205,295,6.2,48,52,150,1.4,0.33,0.84,1800,800,0.6,24,2,2
Keeper of the Light,INT,16,2.1,66.4,15,1.6,53.4,23,2.8,90.2,54,6.5,210,335,1.4,43,50,600,1.7,0.3,0.85,1800,800,0.5,24,1.5,2
Kunkka,STR,24,3.3,103.2,14,1.3,45.2,18,1.5,54,56,6.1,202.4,295,3.24,50,60,150,1.7,0.4,0.3,1800,800,0.6,24,1.5,2
Legion Commander,STR,26,2.9,95.6,18,1.7,58.8,20,2.2,72.8,64,6.8,227.2,315,1.88,61,65,150,1.7,0.46,0.64,1800,800,0.5,24,1.5,2
Leshrac,INT,18,2.1,68.4,23,1.7,63.8,22,3,94,63,6.8,226.2,330,3.68,41,45,600,1.7,0.4,0.77,1800,800,0.5,24,1.5,4
Lich,INT,20,1.85,64.4,15,2,63,16,3.25,94,51,7.1,221.4,315,1.4,42,51,550,1.7,0.46,0.54,1800,800,0.5,24,1.5,2
Lifestealer,STR,25,3.1,99.4,18,1.9,63.6,15,1.75,57,58,6.75,220,310,0.88,52,62,150,1.85,0.39,0.44,1800,800,1,24,1.5,2
Lina,INT,20,1.8,63.2,16,1.5,52,28,3.2,104.8,64,6.5,220,295,1.56,46,58,670,1.6,0.75,0.78,1800,800,0.5,24,1.5,2
Lion,INT,18,2,66,15,1.5,51,18,3,90,51,6.5,207,290,1.4,47,53,600,1.7,0.43,0.74,1800,800,0.5,24,1.5,2
Lone Druid,AGI,18,2.4,75.6,24,2.7,88.8,13,1.4,46.6,55,6.5,211,320,4.8,42,46,550,1.7,0.33,0.53,1800,800,0.5,24,1.75,2
Luna,AGI,16,2.2,68.8,18,3.3,97.2,16,1.85,60.4,50,7.35,226.4,330,3.6,38,44,330,1.7,0.46,0.54,1800,800,0.6,24,1.5,2
Lycan,STR,25,3.3,104.2,16,1,40,17,1.4,50.6,58,5.7,194.8,300,0.56,55,60,150,1.7,0.55,0.55,1800,800,0.5,8,1.5,2
Magnus,STR,23,3.2,99.8,15,2.5,75,19,1.65,58.6,57,7.35,233.4,305,3.4,55,67,150,1.8,0.5,0.84,1800,800,0.8,24,2,4
Medusa,AGI,15,1.3,46.2,20,2.5,80,19,2.1,69.4,54,5.9,195.6,275,3,44,50,600,1.7,0.5,0.6,1800,800,0.5,24,1.5,0
Meepo,AGI,24,1.6,62.4,23,2.2,75.8,20,1.6,58.4,67,5.4,196.6,310,7.6,43,49,150,1.7,0.38,0.6,1800,800,0.65,24,1.75,2
Mirana,AGI,18,2.15,69.6,18,3.2,94.8,17,1.65,56.6,53,7,221,295,2.6,43,48,630,1.7,0.3,0.7,1800,800,0.5,24,1.5,2
Monkey King,AGI,19,2.8,86.2,22,3.2,98.8,20,1.8,63.2,61,7.8,248.2,300,1.4,51,57,300,1.7,0.45,0.2,1800,800,0.6,8,3,2
Morphling,AGI,20,2.3,75.2,24,3.7,112.8,13,1.1,39.4,57,7.1,227.4,280,2.8,33,42,350,1.5,0.5,0.5,1800,800,0.6,24,1.5,0
Naga Siren,AGI,22,2.8,89.2,21,3.2,97.8,21,2,69,64,8,256,315,7.2,44,46,150,1.7,0.5,0.5,1800,800,0.5,8,3,0
Nature's Prophet,INT,21,2.4,78.6,18,2.4,75.6,23,2.9,92.6,62,7.7,246.8,290,3.88,55,69,600,1.7,0.4,0.77,1800,800,0.6,24,1.5,2
Necrophos,INT,18,2.6,80.4,15,1.2,43.8,20,2.5,80,53,6.3,204.2,285,3.4,46,50,550,1.7,0.4,0.47,1800,800,0.5,24,1.5,2
Night Stalker,STR,23,3.1,97.4,18,2.25,72,13,1.6,51.4,54,6.95,220.8,285,4.88,61,65,150,1.7,0.55,0.55,800,1800,0.5,24,3.25,2
Nyx Assassin,AGI,19,2.3,74.2,19,2.2,71.8,18,2.1,68.4,56,6.6,214.4,295,4.8,46,50,150,1.7,0.46,0.54,1800,800,0.5,24,4.75,6
Ogre Magi,INT,25,3.5,109,14,1.55,51.2,15,2,63,54,7.05,223.2,285,8.24,58,64,150,1.7,0.3,0.3,1800,800,0.6,24,4.75,2
Omniknight,STR,22,3.1,96.4,15,1.75,57,15,1.8,58.2,52,6.65,211.6,300,3.4,53,63,150,1.7,0.433,0.567,1800,800,0.6,24,1.5,2
Oracle,INT,20,2.2,72.8,15,1.7,55.8,21,3.5,105,56,7.4,233.6,305,2.4,39,45,620,1.4,0.3,0.7,1800,800,0.7,24,1.5,2
Outworld Devourer,INT,19,2.6,81.4,24,2,72,24,2.7,88.8,67,7.3,242.2,315,4.34,40,55,450,1.7,0.46,0.54,1800,800,0.5,24,1.5,4
Pangolier,AGI,17,2.5,77,18,2.8,85.2,16,1.9,61.6,51,7.2,223.8,305,4.6,47,53,150,1.7,0.33,0,1800,800,1,24,1.75,2
Phantom Assassin,AGI,21,2.15,72.6,23,3.15,98.6,15,1.4,48.6,59,6.7,219.8,305,5.6,46,48,150,1.7,0.3,0.7,1800,800,0.6,24,1.75,2
Phantom Lancer,AGI,19,2,67,29,2.8,96.2,21,2,69,69,6.8,232.2,285,5.8,51,73,150,1.7,0.5,0.5,1800,800,0.6,8,3,2
Phoenix,STR,19,3.2,95.8,12,1.3,43.2,18,1.8,61.2,49,6.3,200.2,280,-0.08,45,55,500,1.7,0.35,0.633,1800,800,1,24,1.5,2
Puck,INT,17,2,65,22,1.7,62.8,23,2.4,80.6,62,6.1,208.4,295,1.52,53,64,550,1.7,0.5,0.8,1800,800,0.5,24,1.5,2
Pudge,STR,25,3.5,109,14,1.5,50,14,1.5,50,53,6.5,209,275,0.24,59,65,150,1.7,0.5,1.17,1800,800,0.7,24,1.5,2
Pugna,INT,19,1.8,62.2,16,1,40,24,4.5,132,59,7.3,234.2,335,2.56,45,53,630,1.7,0.5,0.5,1800,800,0.5,24,1.5,2
Queen of Pain,INT,18,2.3,73.2,18,2,66,22,2.5,82,58,6.8,221.2,295,1.88,45,53,550,1.5,0.56,0.41,1800,800,0.5,24,1.5,2
Razor,AGI,22,2.6,84.4,22,1.8,65.2,21,1.8,64.2,65,6.2,213.8,285,3.4,45,47,475,1.7,0.3,0.7,1800,800,0.5,24,1.5,0
Riki,AGI,18,1.9,63.6,30,2.2,82.8,14,1.3,45.2,62,5.4,191.6,275,7,41,45,150,1.7,0.3,0.3,1800,800,0.6,24,3,2
Rubick,INT,21,1.8,64.2,14,1.6,52.4,25,2.4,82.6,60,5.8,199.2,290,1.24,44,54,550,1.7,0.4,0.77,1800,800,0.7,24,1.5,2
Sand King,STR,22,2.9,91.6,19,2.1,69.4,16,1.8,59.2,57,6.8,220.2,285,2.04,47,57,150,1.7,0.53,0.47,1800,800,0.5,24,1.5,6
Shadow Demon,INT,23,2.4,80.6,18,2.2,70.8,21,2.7,85.8,62,7.3,237.2,295,2.88,50,54,500,1.7,0.35,0.5,1800,800,0.6,24,1.5,2
Shadow Fiend,AGI,16,2.3,71.2,20,2.9,89.6,18,2,66,54,7.2,226.8,310,2,35,41,500,1.7,0.5,0.54,1800,800,1,24,1.75,0
Shadow Shaman,INT,23,2.1,73.4,16,1.6,54.4,21,3,93,60,6.7,220.8,285,2.56,73,80,400,1.7,0.3,0.5,1800,800,0.5,24,1.5,2
Silencer,INT,19,2.5,79,22,3,94,25,2.5,85,66,8,258,295,2.52,43,57,600,1.7,0.5,0.5,1800,800,0.6,24,1.5,2
Skywrath Mage,INT,21,1.8,64.2,13,0.8,32.2,25,3.6,111.4,59,6.2,207.8,330,0.08,39,49,600,1.7,0.4,0.78,1800,800,0.5,24,1.5,2
Slardar,STR,21,3.1,95.4,17,2.4,74.6,15,1.5,51,53,7,221,285,4.72,51,59,150,1.7,0.36,0.64,1800,800,0.5,24,1.5,0
Slark,AGI,21,1.9,66.6,21,1.5,57,16,1.7,56.8,58,5.1,180.4,295,3.2,54,62,150,1.7,0.5,0.3,1800,1800,0.6,24,3.25,2
Sniper,AGI,17,1.7,57.8,21,2.7,85.8,15,2.6,77.4,53,7,221,285,3.2,36,42,550,1.7,0.17,0.7,1800,1400,0.7,24,1.5,2
Spectre,AGI,21,2.3,76.2,23,1.8,66.2,16,1.9,61.6,60,6,204,285,4.6,46,50,150,1.7,0.3,0.7,1800,800,0.5,24,1.5,0
Spirit Breaker,STR,29,2.7,93.8,17,1.7,57.8,14,1.8,57.2,60,6.2,208.8,280,4.72,60,70,150,1.9,0.6,0.3,1800,800,0.5,24,1.5,2
Storm Spirit,INT,21,1.8,64.2,22,1.5,58,22,3,94,65,6.3,216.2,285,5.52,46,56,480,1.7,0.5,0.3,1800,800,0.8,24,1.5,2
Sven,STR,23,3,95,21,2,69,16,1.3,47.2,60,6.3,211.2,285,4.36,64,66,150,1.8,0.4,0.3,1800,800,0.6,24,1.5,2
Techies,INT,19,2.3,74.2,14,1.3,45.2,20,2.9,89.6,53,6.5,209,270,7.24,29,31,700,1.7,0.5,0.5,1800,800,0.5,24,1.5,6
Templar Assassin,AGI,19,2.4,76.6,23,2.3,78.2,20,2,68,62,6.7,222.8,310,5.6,53,59,140,1.7,0.3,0.5,1800,800,0.7,24,1.75,2
Terrorblade,AGI,16,1.7,56.8,22,4.2,122.8,19,1.6,57.4,57,7.5,237,310,11.4,48,54,150,1.5,0.3,0.6,1800,800,0.5,24,1.5,2
Tidehunter,STR,22,3.3,101.2,15,1.5,51,16,1.7,56.8,53,6.5,209,300,2.4,47,53,150,1.7,0.6,0.56,1800,800,0.5,24,1.5,2
Timbersaw,STR,21,2.1,71.4,16,1.3,47.2,21,2.4,78.6,58,5.8,197.2,285,0.56,47,51,150,1.7,0.36,0.64,1800,800,0.6,24,1.5,2
Tinker,INT,17,2.3,72.2,13,1.2,41.8,28,2.2,80.8,58,5.7,194.8,290,4.08,52,58,500,1.7,0.35,0.65,1800,800,0.6,24,1.5,2
Tiny,STR,30,3.6,116.4,0,0,0,17,1.6,55.4,47,5.2,171.8,285,0,74,80,150,1.7,0.4,1,1800,800,0.5,24,1.5,2
Treant Protector,STR,25,3.6,111.4,15,2,63,20,1.8,63.2,60,7.4,237.6,265,0.4,87,95,150,1.9,0.6,0.4,1800,800,0.5,24,1.5,2
Troll Warlord,AGI,21,2.5,81,21,2.5,81,13,1,37,55,6,199,295,3.2,38,56,500,1.7,0.3,0.3,1800,800,0.5,24,1.75,2
Tusk,STR,23,3,95,23,2.1,73.4,18,1.7,58.8,64,6.8,227.2,295,2.68,50,54,150,1.7,0.36,0.64,1800,800,0.7,24,1.5,2
Underlord,STR,25,2.9,94.6,12,1.3,43.2,17,2.6,79.4,54,6.8,217.2,285,2.92,62,68,150,1.7,0.45,0.7,1800,800,0.6,24,1.5,2
Undying,STR,22,2.4,79.6,10,0.8,29.2,27,2.8,94.2,59,6,203,305,3.6,57,65,150,1.7,0.3,0.3,1800,800,0.6,24,1.5,2
Ursa,AGI,24,3.3,103.2,18,2.1,68.4,16,1.5,52,58,6.9,223.6,305,8.6,42,46,150,1.7,0.3,0.3,1800,800,0.5,24,2,2
Vengeful Spirit,AGI,19,2.9,88.6,27,3.3,106.2,13,1.5,49,59,7.7,243.8,295,5.4,39,47,400,1.7,0.33,0.64,1800,800,0.6,24,1.75,2
Venomancer,AGI,19,1.9,64.6,22,2.8,89.2,17,1.8,60.2,58,6.5,214,275,4.4,38,40,450,1.7,0.3,0.7,1800,800,0.5,24,1.5,0
Viper,AGI,21,2.4,78.6,21,2.9,90.6,15,1.8,58.2,57,7.1,227.4,275,2.2,44,46,575,1.7,0.33,1,1800,800,0.5,24,1.5,0
Visage,INT,24,3,96,11,1.3,42.2,22,2.5,82,57,6.8,220.2,285,-0.24,45,55,600,1.7,0.46,0.54,1800,800,0.5,24,1.5,2
Warlock,INT,24,2.8,91.2,10,1,34,22,2.7,86.8,56,6.5,212,295,2.6,46,56,600,1.7,0.3,0.3,1800,800,0.5,24,1.5,2
Weaver,AGI,16,1.8,59.2,14,3.1,88.4,15,1.8,58.2,45,6.7,205.8,280,1.8,50,60,425,1.8,0.64,0.36,1800,800,0.5,24,2.5,4
Windranger,INT,17,2.8,84.2,17,1.4,50.6,18,2.6,80.4,52,6.8,215.2,295,1.72,42,54,600,1.5,0.4,0.3,1800,800,0.8,24,1.5,2
Winter Wyvern,INT,26,2.4,83.6,16,1.9,61.6,26,3.1,100.4,68,7.4,245.6,285,1.56,38,45,425,1.7,0.25,0.8,1800,800,0.5,24,1.5,2
Witch Doctor,INT,18,2.1,68.4,13,1.4,46.6,22,2.9,91.6,53,6.4,206.6,305,1.08,51,61,600,1.7,0.4,0.5,1800,800,0.5,24,1.5,2
Wraith King,STR,22,2.8,89.2,18,1.7,58.8,18,1.6,56.4,58,6.1,204.4,295,1.88,61,63,150,1.7,0.56,0.44,1800,800,0.5,24,1.5,2
Zeus,INT,21,2.3,76.2,11,1.2,39.8,20,2.7,84.8,52,6.2,200.8,300,1.76,53,61,380,1.7,0.633,0.366,1800,800,0.6,24,1.5,2
